postal_code,codi_ine
03001,03014
03002,03014
03003,03014
03004,03014
03005,03014
03006,03014
03007,03014
03008,03014
03009,03014
03010,03014
03011,03014
03012,03014
03013,03014
03014,03014
03015,03014
03016,03014
03100,03083
03108,03132
03109,03129
03110,03090
03111,03046
03112,03014
03113,03065
03114,03014
03115,03014
03130,03121
03138,03014
03139,03065
03140,03076
03150,03064
03158,03055
03159,03061
03160,03015
03169,03012
03170,03113
03176,03012
03177,03062
03178,03034
03179,03015
03180,03133
03181,03133
03182,03133
03183,03133
03184,03133
03185,03133
03186,03133
03187,03903
03188,03133
03189,03099
03190,03902
03191,03099
03193,03120
03194,03065
03195,03065
03201,03065
03202,03065
03203,03065
03204,03065
03205,03065
03206,03065
03207,03065
03208,03065
03290,03065
03291,03065
03292,03065
03293,03065
03294,03065
03295,03065
03296,03065
03300,03099
03310,03099
03311,03099
03312,03099
03313,03099
03314,03099
03315,03099
03316,03099
03317,03049
03320,03065
03330,03059
03339,03059
03340,03005
03348,03074
03349,03904
03350,03058
03360,03049
03369,03099
03370,03111
03380,03044
03390,03024
03400,03140
03408,03140
03409,03052
03410,03043
03420,03053
03430,03096
03440,03079
03450,03021
03460,03023
03469,03051
03501,03031
03502,03031
03503,03031
03509,03069
03510,03048
03516,03037
03517,03057
03518,03045
03520,03107
03530,03094
03540,03014
03550,03119
03559,03014
03560,03050
03569,03004
03570,03139
03578,03112
03579,03124
03580,03011
03581,03011
03590,03018
03599,03018
03600,03066
03610,03104
03630,03123
03638,03116
03639,03140
03640,03089
03649,03089
03650,03105
03657,03105
03658,03105
03659,03105
03660,03093
03668,03013
03669,03114
03670,03088
03679,03088
03680,03019
03688,03077
03689,03077
03690,03122
03698,03002
03699,03014
03700,03063
03709,03063
03710,03047
03720,03041
03723,03006
03724,03128
03725,03128
03726,03042
03727,03081
03728,03006
03729,03125
03730,03082
03737,03082
03738,03082
03739,03082
03740,03071
03749,03063
03750,03101
03759,03030
03760,03095
03769,03040
03770,03063
03778,03026
03779,03063
03780,03063
03786,03001
03788,03136
03789,03135
03790,03097
03791,03137
03792,03091
03793,03054
03794,03029
03795,03131
03800,03009
03801,03009
03802,03009
03803,03009
03804,03009
03810,03035
03811,03073
03812,03086
03813,03068
03814,03008
03815,03103
03816,03032
03819,03009
03820,03056
03827,03016
03828,03106
03829,03056
03830,03092
03837,03003
03838,03010
03839,03092
03840,03072
03841,03007
03850,03028
03860,03084
12001,12040
12002,12040
12003,12040
12004,12040
12005,12040
12006,12040
12100,12005
12110,12005
12118,12122
12119,12005
12120,12072
12121,12005
12122,12122
12123,12073
12124,12130
12125,12142
12126,12048
12127,12048
12130,12902
12131,12122
12132,12001
12133,12001
12134,12025
12135,12067
12140,12003
12150,12129
12159,12038
12160,12026
12161,12119
12162,12134
12163,12051
12164,12105
12165,12014
12166,12105
12170,12100
12179,12111
12180,12033
12181,12029
12182,12105
12183,12132
12184,12120
12185,12050
12186,12098
12190,12124
12191,12094
12192,12128
12193,12124
12194,12124
12200,12084
12210,12095
12220,12084
12221,12109
12222,12002
12223,12108
12224,12131
12225,12064
12230,12058
12231,12046
12232,12118
12300,12080
12310,12061
12311,12087
12312,12075
12315,12127
12317,12068
12318,12091
12319,12037
12320,12099
12330,12121
12340,12070
12350,12036
12360,12052
12370,12052
12400,12040
12410,12012
12412,12104
12413,12010
12414,12125
12415,12065
12420,12020
12428,12063
12429,12115
12430,12022
12431,12114
12440,12043
12447,12078
12448,12079
12449,12088
12450,12071
12460,12140
12469,12140
12470,12081
12480,12106
12489,12107
12490,12018
12499,12056
12500,12138
12510,12101
12511,12096
12512,12096
12513,12042
12520,12082
12526,12136
12527,12016
12528,12057
12529,12082
12530,12027
12539,12901
12540,12135
12549,12021
12550,12009
12560,12040
12570,12004
12578,12044
12579,12004
12580,12027
12589,12034
12590,12011
12591,12074
12592,12053
12593,12077
12594,12085
12595,12033
12596,12117
12597,12102
12598,12089
12599,12093
12600,12126
12609,12007
46001,46250
46002,46250
46003,46250
46004,46250
46006,46250
46007,46250
46008,46250
46009,46250
46010,46250
46011,46250
46012,46250
46013,46250
46014,46250
46015,46250
46016,46237
46017,46250
46018,46250
46019,46250
46020,46250
46021,46250
46022,46250
46023,46250
46024,46250
46025,46250
46026,46250
46035,46250
46100,46078
46110,46135
46111,46216
46112,46250
46113,46171
46114,46260
46115,46025
46117,46070
46118,46228
46119,46178
46120,46013
46130,46164
46131,46250
46132,46032
46133,46166
46134,46126
46135,46250
46136,46177
46137,46199
46138,46207
46139,46199
46140,46001
46141,46092
46143,46242
46145,46252
