municipi_raw,codi_ine,resolved_by
00370 - Dénia,03063,name
02540 - Alicante/Alacant,03014,name
02720 - Benissa,03041,name
03000 - Alicante/Alacant,03014,name
03000 - Biar,03043,name
03000 - Elche/Elx,03065,name
03000 - Elda,03066,name
03001 - Alicante/Alacant,03014,both
03001 - Elche/Elx,,discrepancy
03002 - Alicante/Alacant,03014,both
03002 - Elche/Elx,,discrepancy
03003 - Alicante/Alacant,03014,both
03003 - Orihuela,,discrepancy
03004 - Alicante/Alacant,03014,both
03005 - Alicante/Alacant,03014,both
03005 - Hondón de los Frailes,,discrepancy
03006 - Alicante/Alacant,03014,both
03007 - Alicante/Alacant,03014,both
03008 - Alicante/Alacant,03014,both
03009 - Alicante/Alacant,03014,both
03009 - Orihuela,,discrepancy
03010 - Alicante/Alacant,03014,both
03011 - Alicante/Alacant,03014,both
03012 - Alicante/Alacant,03014,both
03013 - Alicante/Alacant,03014,both
03014 - Alicante/Alacant,03014,both
03015 - Alicante/Alacant,03014,both
03015 - Castell de Castells,,discrepancy
03016 - Alicante/Alacant,03014,both
03040 - Benimeli,03040,name
03062 - Daya Vieja,03062,name
03100 - Jijona/Xixona,03083,both
03104 - Petrer,03104,name
03106 - Alicante/Alacant,03014,name
03108 - Torremanzanas/Torre de les Maçanes (la),03132,both
03109 - Tibi,03129,both
03110 - Alicante/Alacant,,discrepancy
03110 - Jijona/Xixona,,discrepancy
03110 - Mutxamel,03090,both
03111 - Busot,03046,both
03112 - Alicante/Alacant,03014,both
03113 - Alicante/Alacant,,discrepancy
03113 - Elche/Elx,03065,both
03114 - Alicante/Alacant,03014,both
03116 - Salinas,03116,name
03130 - Santa Pola,03121,both
03139 - Elche/Elx,03065,both
03139 - Santa Pola,,discrepancy
03140 - Guardamar del Segura,03076,both
03150 - Almoradí,,discrepancy
03150 - Dolores,03064,both
03158 - Catral,03055,both
03158 - Crevillent,,discrepancy
03159 - Daya Nueva,03061,both
03160 - Alicante/Alacant,,discrepancy
03160 - Almoradí,03015,both
03160 - Catral,,discrepancy
03160 - Torrevieja,,discrepancy
03169 - Algorfa,03012,both
03170 - Benijófar,,discrepancy
03170 - Formentera del Segura,03113,cp
03170 - Rojales,03113,both
03177 - San Fulgencio,03062,both
03178 - Benijófar,03034,both
03179 - Almoradí,03015,both
03179 - Formentera del Segura,03015,cp
03179 - Rojales,,discrepancy
03180 - Alicante/Alacant,,discrepancy
03180 - Torrevieja,03133,both
03181 - Torrevieja,03133,both
03182 - Torrevieja,03133,both
03183 - Torrevieja,03133,both
03184 - Torrevieja,03133,both
03185 - Torrevieja,03133,both
03186 - Torrevieja,03133,both
03187 - Montesinos (Los),03903,both
03187 - Torrevieja,,discrepancy
03188 - Alfàs del Pi (l'),,discrepancy
03188 - Torrevieja,03133,both
03189 - Orihuela,03099,both
03190 - Alicante/Alacant,,discrepancy
03190 - Almoradí,,discrepancy
03190 - Pilar de la Horadada,03902,both
03191 - Pilar de la Horadada,,discrepancy
03193 - San Miguel de Salinas,03120,both
03194 - Elche/Elx,03065,both
03194 - Guardamar del Segura,,discrepancy
03195 - Elche/Elx,03065,both
03200 - Elche/Elx,03065,name
03201 - Elche/Elx,03065,both
03202 - Benidorm,,discrepancy
03202 - Elche/Elx,03065,both
03203 - Alcoy/Alcoi,,discrepancy
03203 - Alicante/Alacant,,discrepancy
03203 - Elche/Elx,03065,both
03203 - Mutxamel,,discrepancy
03203 - Orxeta,03065,cp
03204 - Alicante/Alacant,,discrepancy
03204 - Elche/Elx,03065,both
03205 - Alicante/Alacant,,discrepancy
03205 - Elche/Elx,03065,both
03206 - Elche/Elx,03065,both
03207 - Elche/Elx,03065,both
03208 - Elche/Elx,03065,both
03220 - Elche/Elx,03065,name
03290 - Elche/Elx,03065,both
03291 - Elche/Elx,03065,both
03292 - Elche/Elx,03065,both
03293 - Elche/Elx,03065,both
03294 - Elche/Elx,03065,both
03295 - Elche/Elx,03065,both
03296 - Elche/Elx,03065,both
03300 - Alicante/Alacant,,discrepancy
03300 - Orihuela,03099,both
03310 - Jacarilla,03099,both
03310 - Orihuela,03099,both
03311 - Alicante/Alacant,,discrepancy
03311 - Orihuela,03099,both
03312 - Orihuela,03099,both
03313 - Orihuela,03099,both
03314 - Guardamar del Segura,,discrepancy
03314 - Orihuela,03099,both
03315 - Albatera,,discrepancy
03315 - Orihuela,03099,both
03316 - Benferri,03099,cp
03316 - Orihuela,03099,both
03317 - Callosa de Segura,03049,both
03317 - Orihuela,,discrepancy
03318 - Orihuela,03099,name
03320 - Elche/Elx,03065,both
03321 - Orihuela,03099,name
03322 - Alicante/Alacant,03014,name
03322 - Orihuela,03099,name
03325 - Orihuela,03099,name
03330 - Alicante/Alacant,,discrepancy
03330 - Crevillent,03059,both
03332 - Elche/Elx,03065,name
03339 - Crevillent,03059,both
03339 - Romana (la),,discrepancy
03340 - Albatera,03005,both
03340 - Alicante/Alacant,,discrepancy
03340 - Elche/Elx,,discrepancy
03340 - Ibi,,discrepancy
03348 - Granja de Rocamora,03074,both
03349 - San Isidro,03904,both
03350 - Albatera,,discrepancy
03350 - Benidorm,,discrepancy
03350 - Cox,03058,both
03360 - Callosa de Segura,03049,both
03360 - Cox,,discrepancy
03360 - Novelda,,discrepancy
03360 - Rafal,,discrepancy
03366 - Callosa de Segura,03049,name
03369 - Orihuela,03099,both
03369 - Rafal,,discrepancy
